"name","description","url","home","gmt_offset","timezone_string"
"ExoClick","The innovative ad network","https://www.exoclick.com","https://www.exoclick.com","1","Europe/Madrid"
"TechCrunch","Startup and Technology News","https://techcrunch.com","https://techcrunch.com","-8","America/Los_Angeles"
"Stanford University","","https://www.stanford.edu","https://www.stanford.edu","-8","America/Los_Angeles"
"Addroplet","Just another WordPress site","https://www.addroplet.com","https://www.addroplet.com","0",""
"news.com.au — Australia’s leading news site","","https://classic.go.news.com.au","https://www.news.com.au","11","Australia/Sydney"
"nbcolympics.com","Tokyo Olympic Games","https://www.nbcolympics.com","https://www.nbcolympics.com","-5","America/New_York"
"Cine Calidad","Películas en excelente calidad Full HD bluray. Audio latino o inglés online.","https://www.cinecalidad.is","https://www.cinecalidad.is","-4",""
"United States Department of State","","https://www.state.gov","https://www.state.gov","-5","America/New_York"
"Metro","Metro.co.uk: News, Sport, Showbiz, Celebrities from Metro","https://metro.co.uk","https://metro.co.uk","0","Europe/London"
"Heavy.com","Breaking News, Sports, Entertainment, TV, Tech, Gaming &amp; Health.","https://heavy.com","https://heavy.com","-5","America/New_York"
"TFE Times","Business, Technology, and Culture","https://tfetimes.com","https://tfetimes.com","-5","America/New_York"
"NESN.com","Sports News | Red Sox, Bruins, Patriots, Celtics","https://nesn.com","https://nesn.com","-5","America/New_York"
"เว็บวิจารณ์หนัง รีวิวหนังใหม่ ตัวอย่างหนัง","Movie2free","https://www.movie2free.com","https://www.movie2free.com","7","Asia/Bangkok"
"The Indian Express","Latest News, India News, Breaking News, Today&#039;s News Headlines Online","https://indianexpress.com","https://indianexpress.com","5.5","Asia/Kolkata"
"BD24Live.com","Bangla Online News Portal","https://www.bd24live.com","https://www.bd24live.com","6","Asia/Dhaka"
"Vanguard News","A Nigerian newspaper and Online version of the Vanguard, a daily publication in Nigeria covering Nigeria news, Niger delta, general national news, politics, business, energy, sports, entertainment, fashion,lifestyle human interest stories, etc","https://www.vanguardngr.com","https://www.vanguardngr.com","1","Africa/Lagos"
"Sankaku Complex","Anime, manga and games, observed from Japan","https://www.sankakucomplex.com","https://www.sankakucomplex.com","9","Asia/Tokyo"
"G Nula","Otro sitio realizado con WordPress","http://gnula.nu","http://gnula.nu","0",""
"Definición.de","Definiciones de términos y conceptos","https://definicion.de","https://definicion.de","-5",""
"Caffeina Magazine","","https://www.caffeinamagazine.it","https://www.caffeinamagazine.it","1","Europe/Rome"
"Shädbase","All Risks Reserved!","http://www.shadbase.com","http://www.shadbase.com","0",""
"Get Into PC","Download Free Your Desired App","https://getintopc.com","https://getintopc.com","5","Asia/Karachi"
"Лайфхакер","советы и лайфхаки, продуктивность, технологии, здоровье","","","",""
"Makeleio.gr","Το Site των Μεγάλων αποκαλύψεων","https://www.makeleio.gr","https://www.makeleio.gr","",""
"CBS Local","","https://cbslocal.com","https://cbslocal.com","0",""
"Ocean of Games","","http://oceanofgames.com","http://oceanofgames.com","5","Asia/Karachi"
"FiveThirtyEight","Nate Silver’s FiveThirtyEight uses statistical analysis — hard numbers — to tell compelling stories about politics, sports, science, economics and culture.","https://fivethirtyeight.com","https://fivethirtyeight.com","-5","America/New_York"
"Prensa Libre","Periódico líder de Guatemala","https://www.prensalibre.com","https://www.prensalibre.com","-6","America/Guatemala"
"El Intransigente","Noticias de Argentina y el mundo en tiempo real","http://elintransigente.com","http://elintransigente.com","-3","America/Argentina/Buenos_Aires"
"JavArchive.com","JavArchive.com – Free Japanese AV Blog","http://javarchive.com","http://javarchive.com","0",""
"Informer Technologies, Inc.","","https://www.informer.com","https://www.informer.com","0",""
"The University of North Carolina at Chapel Hill","The University of North Carolina at Chapel Hill","https://www.unc.edu","https://www.unc.edu","-5","America/New_York"
"Channel Myanmar","Quality Is Our Priority","https://channelmyanmar.org","https://channelmyanmar.org","6.5",""
"آرگا","پورتال جامع آرگا","https://arga-mag.com","https://arga-mag.com","3.5","Asia/Tehran"
"Boston University","","http://www.bu.edu","http://www.bu.edu","-5",""
"The City University of New York","The Greatest Urban University in the World","https://www.cuny.edu","https://www.cuny.edu","-5","America/New_York"
"AP2TG.com","Find all the latest news, updates, Results, Admit Cards, Jobs, Answer Keys, Viral and Sport News in and around Ap and Telangana.","https://ap2tg.com","https://ap2tg.com","5.5",""
"ANITUBE Assista seu Anime Online","ANITUBE Assista seu Anime Online","https://www.anitube.se","https://www.anitube.se","-3","America/Sao_Paulo"
"Paul Tan&#039;s Automotive News","Malaysia&#039;s #1 Source for Automotive News","https://paultan.org","https://paultan.org","8","Asia/Kuala_Lumpur"
"Deadline","Hollywood Entertainment Breaking News","https://deadline.com","https://deadline.com","-8","America/Los_Angeles"
"FitGirl Repacks","The ONLY official site for FitGirl Repacks. Every single FG repack installer has a link inside, which leads here. Do not fall for fake and scam sites, which are using my name.","https://fitgirl-repacks.site","https://fitgirl-repacks.site","3",""
"Jobvite","Recruiting Software - Applicant Tracking","https://www.jobvite.com","https://www.jobvite.com","-5","America/Indiana/Indianapolis"
"Jagobd.com","JagoBD : Bangladeshi Largest Online TV Portal | জাগো বিডি লাইভ বাংলা টিভি পোর্টাল","http://www.jagobd.com","http://www.jagobd.com","6",""
"Revista Fórum","O portal de todas as causas","https://revistaforum.com.br","https://revistaforum.com.br","-3","America/Sao_Paulo"
"ZEDO, Inc.","Advertising Technology Partner for Publishers","https://www.zedo.com","https://www.zedo.com","0",""
"WP Engine","Managed WordPress Hosting","https://wpengine.com","https://wpengine.com","-6","America/Chicago"
"Sportzwiki","","https://sportzwiki.com","https://sportzwiki.com","5.5","Asia/Kolkata"
"PLOS","Opening Science","https://plos.org","https://plos.org","0",""
"آپ تی وی","دانلود فیلم,دانلود فیلم ایرانی رایگان,دانلود فیلم ایرانی با لینک مستقیم,سایت دانلود فیلم ایرانی,سایت دانلود فیلم ایرانی,دانلود آهنگ٬ دانلود آهنگ ایرانی٬ دانلود آهنگ جدید٬ دانلود بازی٬ دانلود رایگان فیلم با لینک مستقیم٬ دانلود سریال٬ دانلود سریال با لینک مستقیم٬ دانلود فیلم٬ دانلود فیلم با لینک مستقیم٬ دانلود فیلم خارجی,آپ تی وی, آپ تیوی, آپتیوی","https://www.uptvs.com","https://www.uptvs.com","3.5","Asia/Tehran"
"Advertserve","A Powerful and Customizable Ad Server","http://www.advertserve.com","https://www.advertserve.com","0",""
"تاروت رنگی","مجله علمی، آموزشی، فرهنگی و سرگرمی","http://www.taroot-rangi.com","http://www.taroot-rangi.com","3.5","Asia/Tehran"
"Thought Catalog","Thought Catalog is a digital youth culture magazine dedicated to your stories and ideas.","https://thoughtcatalog.com","https://thoughtcatalog.com","-5","America/New_York"
"El Diario NY","Últimas Noticias en Español de New York, USA, y El Mundo","https://eldiariony.com","https://eldiariony.com","-5","America/New_York"
"Symplicity","Helping institutions connect students to people, knowledge and opportunities.","https://symplicity.com","https://symplicity.com","-5","America/New_York"
"USEmbassy.gov","Language Baseline","https://www.usembassy.gov","https://www.usembassy.gov","0",""
"UPROXX","The Culture Of Now","https://uproxx.com","https://uproxx.com","-5","America/New_York"
"دانلود موزیک ، دانلود آهنگ ، دانلود موزیک ویدئو","دانلود موزیک ، دانلود آهنگ ، دانلود موزیک ویدئو","https://nex1music.ir","https://nex1music.ir","3.5","Asia/Tehran"
